,건물면적,경도,도서관명,도서관유형,시군구명,시도명,열람좌석수,위도,자료수,좌표
215,60.0,127.04968600000001,성수1가제1동작은도서관,공공도서관,성동구,서울특별시,20,37.542037,7707,"37.542037, 127.04968600000001"
216,24.0,127.01348600000001,옥수동북카페,공공도서관,성동구,서울특별시,5,37.54367,3862,"37.54367, 127.01348600000001"
217,134.0,127.02231,금호4가동어린이작은도서관,공공도서관,성동구,서울특별시,20,37.547171,7304,"37.547171, 127.02231"
218,77.0,127.02091109530001,"금호2,3가동어린이작은도서관",공공도서관,성동구,서울특별시,15,37.553233,8794,"37.553233, 127.02091109530001"
219,71.0,127.02163700000001,금호1가동우리동네북카페책단지꿀단지,공공도서관,성동구,서울특별시,28,37.554834,4285,"37.554834, 127.02163700000001"
220,84.0,127.033401,응봉동어린이작은도서관,공공도서관,성동구,서울특별시,18,37.553118,6379,"37.553118, 127.033401"
221,100.0,127.02936100000001,행당제2동어린이작은도서관,공공도서관,성동구,서울특별시,40,37.5582215718,11760,"37.5582215718, 127.02936100000001"
222,51.8,127.0453273317,사근동어린이놀이터도서관,공공도서관,성동구,서울특별시,20,37.5614997515,4964,"37.5614997515, 127.0453273317"
223,46.0,127.0454072202,마장동작은도서관,공공도서관,성동구,서울특별시,20,37.5663182489,4990,"37.5663182489, 127.0454072202"
224,50.58,127.0305138351,왕십리제2동작은도서관,공공도서관,성동구,서울특별시,7,37.561057,3293,"37.561057, 127.0305138351"
225,99.35,127.0255270951,왕십리도선동희망문고,공공도서관,성동구,서울특별시,35,37.567873934,6627,"37.567873934, 127.0255270951"
226,1189.55,127.0255270951,성동구립청계도서관,공공도서관,성동구,서울특별시,209,37.567873934,50359,"37.567873934, 127.0255270951"
227,9726.0,127.0469470775,성동구립성수도서관,공공도서관,성동구,서울특별시,212,37.5454289206,53180,"37.5454289206, 127.0469470775"
228,469.0,127.03696635870001,성동구립무지개도서관,공공도서관,성동구,서울특별시,148,37.56342359,45165,"37.56342359, 127.03696635870001"
229,1482.0,127.05131399999999,성동구립용답도서관,공공도서관,성동구,서울특별시,217,37.5666999281,86958,"37.5666999281, 127.05131399999999"
230,1517.0,127.0248931731,성동구립금호도서관,공공도서관,성동구,서울특별시,204,37.554128462600005,92738,"37.554128462600005, 127.0248931731"
